,roles,companies,locations,experience,skills
812,Data Scientist,Right Steps Consultancy,Pune,1-5 Yrs,"Data management
data science
Analytical
Machine learning
Research
Management
big data
Testing"
813,Data Scientist,Great Logics,"Hyderabad, Gurgaon",3-6 Yrs,"C
SOC verification
UVM"
814,Data Scientist Machine Learning,NeenOpal Intelligent Solutions Pvt. Ltd.,Bengaluru,2-5 Yrs,"Usage
Machine learning"
815,Data Scientists,Pratibha Analytics,Hyderabad,2-7 Yrs,"Help Desk
Customer Service
customer relationship
access controls
Telephony support
Asset Management
Vendor Management
Information"
816,Data Scientist,WeRecruit Talent,Bengaluru,2-5 Yrs,"Computer science
Machine learning
Hadoop
Packaging
Programming
Mathematics
Research
Data mining"
817,Requirement of Data Scientist - Mortgage Finance,FinAcPlus,Hyderabad,3-8 Yrs,"Business process
Computer science
Back office
Data analytics
data visualization
Data mining
Powerpoint
Macros"
818,Staff Data Scientist,Zendrive Inc,Bengaluru,4-7 Yrs,"Computer science
Interpersonal skills
data science
Machine learning
Signal processing
HTTP
Continuous improvement
Analytics"
819,Data Scientist - R Modeling,GOLDEN OPPORTUNITIES PVT LTD.,Mumbai,6-11 Yrs,"BPO
Junior Analyst
Root cause analysis
Data validation
Publishing
Pharma
IT support
Programming"
820,Jr Data Analyst / Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Hyderabad,2-7 Yrs,"NoSQL
data science
RDBMS
cassandra
HTML
Data mining
SDLC
Analytics"
821,Data Scientist,Redian Software Pvt Ltd,Gurgaon,3-8 Yrs,"Unix
Computer science
Analytical skills
C++
NoSQL
Linux
data science
Machine learning"
822,Data Scientist Embedded Systems Innovation,CareerXperts Consulting,India,3-7 Yrs,"Unix
C++
GIT
Analytical
Consulting
Machine learning
Debugging
Product design"
823,Data Scientist,Guavus Network Systems Pvt. Ltd.,Gurgaon,1-6 Yrs,Data Scientist
824,Data Analyst / Data Scientist,Veda Semantics,Bengaluru,3-5 Yrs,"Health insurance
Analytical
Relationship building
Machine learning
Data collection
Wellness
Business Development Executive
Customer service"
825,Data Scientist,Telarix,Bengaluru,2-5 Yrs,"volte
Roaming
Management"
826,Data Scientist,Lymbyc,Bengaluru,3-5 Yrs,"Computer science
Computer vision
Operations research
google api
Machine learning
SCALA
Natural language processing
Data mining"
827,Data Scientist,Yoodle,Bengaluru,1-5 Yrs,"Computer science
Manager Quality Assurance
Neural networks
Machine learning
Data processing
Natural language processing
Predictive modeling
MATLAB"
828,Data Scientist,Arraygen Technologies Pvt Ltd,Pune,1-4 Yrs,"Computer science
Logistic regression
Data analysis
Statistical modeling
Trend analysis
Hypothesis Testing
Design development
Predictive modeling"
829,Data Scientist,Right Steps Consultancy,Pune,1-5 Yrs,"Data management
data science
Analytical
Machine learning
Research
Management
big data
Testing"
830,Data Scientist / Engineer,FrankPro Consulting [OPC],Ahmedabad,3-7 Yrs,Data Scientist / Engineer
831,Data Scientist,"Processware Systems,",Bengaluru,3-7 Yrs,"Computer science
data science
SSRS
Machine learning
Data collection
Programming
microsoft
Data mining"
832,Data Scientist,"Entytle, Iinc.",Pune,2-4 Yrs,"Product management
Computer science
Cloud computing
Data analysis
GIT
Analytical
Machine learning
Agile"
833,Data Scientist,Scienaptic Systems,Bengaluru,3-5 Yrs,"CVS
deep learning
Social media analytics
Automation
Business analytics
Machine learning
Hypothesis Testing
Data mining"
834,Requirement of Data Scientist - Mortgage Finance,FinAcPlus,Hyderabad,3-8 Yrs,"Business process
Computer science
Back office
Data analytics
data visualization
Data mining
Powerpoint
Macros"
835,Lead Data Scientist,Wells Fargo India Solutions Pvt. Ltd.,Bengaluru,6-10 Yrs,"Data analysis
Automation
data science
Analytical
Machine learning
Banking
SAS R
Predictive modeling"
836,Staff Data Scientist,Zendrive Inc,Bengaluru,4-7 Yrs,"Computer science
Interpersonal skills
data science
Machine learning
Signal processing
HTTP
Continuous improvement
Analytics"
837,Most urgent vacancy For Data Scientist-Mumbai,Genius Consultants Limited,Mumbai,5-10 Yrs,"Data Scientist
Machine Learning
sr.data scientist
Deep Learning"
838,Data Scientist - R Modeling,GOLDEN OPPORTUNITIES PVT LTD.,Mumbai,6-11 Yrs,"BPO
Junior Analyst
Root cause analysis
Data validation
Publishing
Pharma
IT support
Programming"
839,ML Engineer/Statistician/Data Scientist Pre - IPO Unicorn,CareerXperts Consulting,Bengaluru,3-5 Yrs,"Computer science
Analytical skills
Consulting
Machine learning
Data structures
Mathematics
Open source
big data"
840,Data Scientist,VARIATION COMPUSOLUTION LLP,Pune,1-6 Yrs,"analytics
deep learning
python
tensorflow
nlp
neural networks
machine learning
technical skills"
841,Data Scientist,Global Talent Pool,Bengaluru,2-4 Yrs,"Computer science
Data analysis
SAS
data science
data visualization
Ruby
SQL
Python"
842,Data Scientist,AXCESS CONSULTANCY SERVICES,Noida,0-3 Yrs,"Supply chain
Data analysis
Statistical analysis
Analytical
Machine learning
Data processing
Data mining
Operations"
843,Data Scientist - Artificial Intelligence/ Machine Learning- Noida,Shriv ComMedia Solutions Pvt. Ltd.,Noida(Sector-63 Noida),3-5 Yrs,"Data Science
Artificial Intelligence
Machine Learning
Deep Learning"
844,Data Scientist (E-commerce web Scraping)_Pune,Tops Office Pros Business Services Pvt. Ltd.,Pune(Kalyani Nagar),2-6 Yrs,"Data Science
scraping
e commerce scraping
Social Media
Web scraping
Text Analytics
Web Technologies
Web Crawling"
845,Data Scientist,RANG INFOSOFT PVT. LTD.,Pune,2-5 Yrs,"critical care
Consultant
medicine
ICU
hospital
resident"
846,Data Scientist,IoTian Technologies Pvt Ltd,Japan,1-4 Yrs,"Data Science
NLP
JLPT
Opencv
machine learning
Deep Learning"
847,"Data Scientist /Data Science Engineer with MNC, HYD/ BNG/ Delhi NCR",M Associates IT Services Pvt. Ltd.,"Delhi NCR, Bengaluru, Hyderabad",2-6 Yrs,"python
c++
c
java
data science
Data science engineer
Data Scientist
linux"
848,Immediate Opening - Data Scientist For a Leading Company at Chennai,Inesh Management Consultancy,Chennai,2-5 Yrs,"Data Analysis
Analytics"
849,Sr.Data Scientist,Innefu Labs,Delhi,3-8 Yrs,Python
850,Data Scientist,Beno Staffing,Gurgaon,2-7 Yrs,"Computer science
Data analysis
PDF
Image processing
Staffing
Machine learning
Natural language processing
Analytics"
851,Associate Data Scientist | Gurgaon | 0.6 - 2 Years,XTAGE TECHNOLOGIES PRIVATE LIMITED,"Delhi NCR, Gurgaon",0-2 Yrs,"advanced analytics
modeling
market mix modeling
marketing analytics
regression
statistics"
852,Opening For Data Scientist in Axtria,Axtria India Private Limited,"Bengaluru, Gurgaon, Noida",7-12 Yrs,"forecasting.
market analytics
decision science
market mix model
SAS
pharma analytics
predictive analytics
statistical model"
853,Data Scientist - NLP,Novartis Healthcare Pvt. Ltd.,Hyderabad,6-10 Yrs,"Unix
Procurement
C++
Image processing
XML
Perl
Budgeting
MATLAB"
854,Data Scientist,HR Devi and Associates,Trivandrum,4-6 Yrs,"Help Desk
Customer Service
customer relationship
access controls
Telephony support
Asset Management
Vendor Management
Information"
855,Hiring a Part-time Supporter For Data Analyst or Data scientist,Platinus Technologies Private Limited,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata",5-10 Yrs,"Data Scientist
Data Analyst"
856,"Gramener is hiring ""Data Scientist Experts"" with Banking Domain",Gramener Technology - Data-science Firm,"Mumbai, Bengaluru, Hyderabad",5-8 Yrs,"Predictive Modeling
Business Insights
Data Architecture
Data Analytics
Machine Learning
Statistics"
857,Data Scientist,HR Devi and Associates,Bengaluru,5-7 Yrs,"Data scientist
GAM
DATA ANALYTICS
Linear Regression
GLM
Decission trees"
858,Data Scientist / Data Analyst,Bloom Consulting Services,Bengaluru,6-11 Yrs,"Computer science
SAS
Consulting
Data Analyst
Perl
Business solutions
Ruby
Performance improvement"
859,Data Scientist,Valiance Solutions,Noida,4-9 Yrs,"Logistic regression
advanced analytics
Client satisfaction
Senior management
Neural networks
Consulting
Machine learning
Workflow"
860,Data Scientist,Ness Technologies,Bengaluru,5-10 Yrs,"Performance tuning
jQuery
Front end
System programming
Javascript
Data structures
HTML
WCF"
861,Data Scientist / Data Analyst,Bloom Consulting Services,Bengaluru,6-11 Yrs,"Computer science
SAS
Consulting
Data Analyst
Perl
Business solutions
Ruby
Performance improvement"
862,Data Scientist,DigiLantern,Noida,7-10 Yrs,"Computer science
Programming
Manager Technology
PHP
Perl
Statistics
Analytics
SQL"
863,Data Scientist,Valiance Solutions,Noida,4-9 Yrs,"Logistic regression
advanced analytics
Client satisfaction
Senior management
Neural networks
Consulting
Machine learning
Workflow"
864,"Data Scientist, Advanced Analytics",ICL Systems,Gurgaon,5-10 Yrs,"Training
Supply chain
Data analysis
Prototype
Network optimization
Machine learning
Debugging
Open source"
865,Data Scientist Senior Consultant,Talent Toppers,Chennai,6-11 Yrs,"Computer science
Business communication
Operations research
Business analytics
Analytical
Agile
Customer service
Econometrics"
866,Data Scientist - Delivery,Uniphore,Bengaluru,4-6 Yrs,"Telecom
SAS
Bfsi
Consulting
Data processing
Customer service
Data mining
Forecasting"
867,Data Scientist,Arnold Consulting Pvt Ltd,Bengaluru,6-11 Yrs,"Scalability
Consulting
Analytics
Python"
868,Senior Data Scientist,Opscruise,Chennai,5-10 Yrs,"Assurance
Networking
GCP
Machine learning
Javascript
Instrumentation
Pattern recognition
Oracle"
869,Senior Data Scientist,CrossML,Chandigarh,5-9 Yrs,"Computer science
deep learning
data science
Machine learning
Information retrieval
Mathematics
Customer experience
Research"
870,Data Scientist -GCP,Oloop Technology Solutions,Hyderabad,8-12 Yrs,"Printing
GCP"
871,Data Scientist,Eyeo,Remote,4-9 Yrs,"IT Skills
Python
Cloud
work from home
Web technologies
Version control
Linux
HP data protector"
872,Data Scientist,ExecBoardinAsia,Chennai,5-10 Yrs,"Statistical analysis
data science
model development
Research
Monitoring"
873,Data Scientist,Optimum Solutions,Chennai,5-10 Yrs,"hive
spark
SCALA
Hadoop
Application development
Data analytics
Teradata
SQL"
874,DATA SCIENTIST,SGF Global,Pune,5-10 Yrs,"Computer science
SAS
Coding
Machine learning
Application development
Data mining
Machinery
Analytics"
875,Data Scientist,Aarch Solutions,Bengaluru,8-13 Yrs,"Unix
Supply chain
Computer science
C++
Linux
Machine learning
SPSS
Data mining"
876,Senior Data Scientist,GO-JEK,Bengaluru,5-10 Yrs,"deep learning
data science
spark
Diversity and Inclusion
Data collection
Manager Technology
Mathematics
Monitoring"
877,Sr. Data Scientist,EagleView,Bengaluru,5-9 Yrs,"Training
Computer vision
deep learning
Neural networks
Opencv
Machine learning
Cloud
Python"
878,Data Scientists,Arnold Consulting Pvt Ltd,Bengaluru,6-11 Yrs,"hive
tableau
Consulting
SQL
Python"
879,Data Scientist,Arnold Consulting Pvt Ltd,Bengaluru,6-11 Yrs,Consulting
880,Data Scientist - Machine Learning Engineer,Aera Technology,Pune,6-8 Yrs,"SAN
algorithms
Business operations
Computer science
Relationship Executive
apache
Linux
infrastructure"
881,Data Scientist - Delivery,Uniphore,Bengaluru,4-6 Yrs,"Telecom
SAS
Bfsi
Consulting
Data processing
Customer service
Data mining
Forecasting"
882,Data Scientist,Innominds Software Pvt Ltd,India,4-8 Yrs,"Mining
Digital media
Email
Graph
Algorithms
Incubator
Information retrieval
Natural language processing"
883,Data Scientist,Tech Ringers,Hyderabad,8-13 Yrs,"BPO
RF
Image processing
Staffing
Pharma
Artificial Intelligence
Consulting
Machine learning"
884,Data Scientist,Scalable Systems Pvt. Ltd.,bhubaneswar,4-7 Yrs,"Computer science
Policies
Data management
Machine learning
Service
Perl
SPSS
QlikView"
885,Data Scientist,Fitfyles LLP,Delhi,5-9 Yrs,"Logistic regression
Factor analysis
Algorithms
Simulation
Analytical
Tools
Healthcare
Forecasting"
886,"Data Scientist, Advanced",iXplore Technologies,Bengaluru,8-10 Yrs,"Graphics
Post production
Product engineering
data science
Enterprise Architect
System integration
Machine learning
Business intelligence"
887,Data Scientist,Mahajan Imaging,"Delhi, Bengaluru, Hyderabad",4-6 Yrs,"Medical imaging
PDF
Email
Imaging
Radiology
Clinical research
Doc
Mammography"
888,Data Scientist,Germane Analytics Pvt Ltd,Bengaluru,8-13 Yrs,"C++
Algorithms
Simulation
Coding
MySQL
Machine learning
Javascript
Business Objects"
889,SDE - Data Scientist,Zamroo,Noida,4-9 Yrs,"Computer science
Data analysis
Statistical analysis
Artificial Intelligence
Machine learning
Agile
model development
data visualization"
890,Senior Data Scientist / Algorithms Specialist,AmyLogic,Jaipur,4-6 Yrs,"Algorithms
SAS
Web analytics
MySQL
Tools
J2Ee
Informatica
Oracle"
891,Data Scientist,JIDOKA SYSTEMS PRIVATE LIMITED,Chennai,5-10 Yrs,"Computer science
Computer vision
C++
Prototype
Image processing
Machine learning
augmented reality
Information technology"
892,Senior Data Scientist,Cynosure Corporate Solutions,Gurgaon,5-10 Yrs,"Algorithms
Computer Science
Neural Networks
Product Engineering
Machine Learning
Statistics
Deep Learning
Linear Algebra"
893,Sr Data Scientist,krtrimaIQ AI Solutions,Bengaluru,5-8 Yrs,"Computer science
Computer vision
deep learning
Data analysis
Neural networks
Machine learning
Presales
Natural language processing"
894,Data Scientist -GCP,Oloop Technology Solutions,Hyderabad,8-12 Yrs,"Printing
GCP"
895,Data Scientist - Machine Learning/Artificial Intelligence/ Python,Careerera,Bengaluru,4-6 Yrs,"Data analysis
Image processing
Coding
Bfsi
Machine learning
Data structures
CMMI
Customer support"
896,Data Scientist,Aarch Solutions,Bengaluru,8-13 Yrs,"Unix
Supply chain
Computer science
C++
Linux
Machine learning
SPSS
Data mining"
897,DATA SCIENTIST,SGF Global,Pune,5-10 Yrs,"Computer science
SAS
Coding
Machine learning
Application development
Data mining
Machinery
Analytics"
898,Data Scientist / Sr . Data Scientist,Piramal Healthcare,Vadodara,4-7 Yrs,"Computer science
Supply chain management
Prototype
Simulation
Machine learning
Agile
Analytics
SQL"
899,Sr Data Scientist,krtrimaIQ AI Solutions,Bengaluru,5-8 Yrs,"Computer science
Data analysis
Machine learning
linear regression
Presales
Healthcare
Anova
Business intelligence"
900,Web Analyst - Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,8-12 Yrs,"data science
SAS
Web analytics
Analytical
Social media
HTML
Omniture
Analytics"
901,Data Scientist,Symmetrical Management Consulting,Noida,5-10 Yrs,"Statistical analysis
SAS
Database management
Data collection
HTML
WPS
Manager Quality Control
Data mining"
902,Data Scientist,The Data Team,Chennai,10-20 Yrs,"IT Skills
Java
Python
Angularjs
Javascript
Big Data
Azure
freelance"
903,Data Scientist,Skills Hr,Pune,5-10 Yrs,"Supply chain
Microstrategy
Analytical skills
Simulation
MySQL
Supply chain solutions
Data mining
Econometrics"
904,DATA ARCHITECT/DATA SCIENTIST,AxmiYaN HR Solutions Private Limited,Gurgaon,5-10 Yrs,"Training
MS SQL
Database design
Analytical
Data Architect
Database
Data Analyst
Data mining"
905,DATA SCIENTIST,Alpha ICT LLP.,Pune,5-7 Yrs,"Computer science
Business objects
Data analysis
Google Analytics
Machine learning
TIBCO
Data structures
Firmware"
906,Sr. Data Scientist,SOULPAGE IT SOLUTIONS PRIVATE LIMITED,Hyderabad,5-8 Yrs,"Data Science
NLP
Big Data
AL / ML
Machine Learning
Deep Learning
Python"
907,Data Scientist,AppZen,Pune,4-6 Yrs,"Computer science
Computer vision
deep learning
Aerospace
Pharma
Machine learning
Data quality
Predictive modeling"
908,Data Scientist,"Coresight Research, Inc.",Mangalore,5-10 Yrs,"Analytical skills
Retail
Data analysis
Time management
Data modeling
Data collection
Research
SQL"
909,Sr. Data Scientist,Jet2 Travel Technologies Pvt. Ltd.,Pune,5-10 Yrs,"Data Science
Storyboarding
SQL Server
Machine Learning
Python"
910,Data Scientist,Near Pte. Ltd.,Bengaluru,6-9 Yrs,"Telecom
Publishing
data science
spark
Analytical
Intellectual property
Data quality
Research"
911,VP - Data Scientist,Posterity Consulting,haryana,7-12 Yrs,"Product management
Consumer research
Integrated marketing
Statistical analysis
Business Analyst
Analytical
Consulting
Product design"
912,Data Scientist,Healtheoz India,Noida,4-8 Yrs,"Computer science
Cloud computing
Logistic regression
PDF
Machine learning
linear regression
Predictive modeling
data visualization"
913,Data Scientist,JIDOKA SYSTEMS PRIVATE LIMITED,Chennai,5-10 Yrs,"Computer science
Computer vision
C++
Prototype
Image processing
Machine learning
augmented reality
Information technology"
914,Data Scientist / Sr . Data Scientist,Piramal Healthcare,Vadodara,4-7 Yrs,"Computer science
Supply chain management
Prototype
Simulation
Machine learning
Agile
Analytics
SQL"
915,Data Scientist,Tatras,Delhi,4-8 Yrs,"Unix
C++
Linux
Django
Shell scripting
Machine learning
Data structures
Data mining"
916,Lead Machine Learning Engineer/ Data Scientist,whiz.ai,Pune,5-9 Yrs,"ERP
Analytical
XML
Machine learning
Data quality
MATLAB
Forecasting
SQL"
917,Sr. Consultant - Data Scientist - Bengaluru - Analytics Vidhya,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,14-16 Yrs,"Computer science
Text mining
deep learning
big data analytics
Artificial Intelligence
Consulting
Machine learning
HTML"
918,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Pune,5-10 Yrs,"Computer science
Qualitative research
Data analysis
Machine learning
HTML
Predictive modeling
SPSS
Multivariate analysis"
